Index,STATIONLINE,ENTRYCOUNT
462,WEST FARMS SQ_25,199396.0
307,GRAND ARMY PLAZ_23,198797.0
318,HALSEY ST_L,196144.0
185,AVENUE U_BQ,193383.0
48,174 ST_25,193044.0
16,125 ST_1,192608.0
425,ROOSEVELT ISLND_F,192021.0
272,DYCKMAN ST_1,190509.0
191,BAY PKWY_D,189170.0
452,V.CORTLANDT PK_1,188826.0
418,RECTOR ST_NRW,188371.0
388,NEWKIRK AV_25,187487.0
240,CATHEDRAL PKWY_BC,186319.0
207,BEDFORD PK BLVD_BD,186060.0
252,CITY HALL_NRW,185139.0
405,PELHAM BAY PARK_6,185127.0
47,170 ST_BD,184963.0
470,WOODLAWN_4,184268.0
368,MORGAN AV_L,183322.0
365,METS-WILLETS PT_7,183221.0
423,ROCKAWAY BLVD_A,182111.0
222,BROAD ST_JZ,180673.0
360,LORIMER ST_LG,180556.0
337,JEFFERSON ST_L,179924.0
95,36 AV_NQW,179684.0
14,116 ST_BC,178911.0
256,CLINTON-WASH AV_C,176695.0
396,OZONE PK LEFFRT_A,176526.0
65,207 ST_1,176369.0
273,DYCKMAN ST_A,176103.0
467,WINTHROP ST_25,175368.0
86,3 AV_L,172994.0
390,NORTHERN BLVD_MR,172707.0
305,GATES AV_JZ,172680.0
369,MORISN AV/SNDVW_6,171935.0
281,ELDER AV_6,171072.0
327,HUNTERS PT AV_7,169508.0
317,HALSEY ST_J,168536.0
349,KINGSTON-THROOP_C,168494.0
401,PARSONS BLVD_F,168440.0
238,CASTLE HILL AV_6,168065.0
295,FRANKLIN AV_ACS,166852.0
253,CLARK ST_23,166499.0
309,GRAND ST_L,166340.0
367,MONTROSE AV_L,165096.0
280,EASTN PKWY-MUSM_23,164248.0
259,CORTELYOU RD_BQ,162644.0
51,176 ST_4,160293.0
59,183 ST_4,160275.0
463,WESTCHESTER SQ_6,159772.0
145,77 ST_R,159603.0
227,BROOK AV_6,159385.0
117,52 ST_7,157456.0
34,15 ST-PROSPECT_FG,157246.0
381,NEW LOTS AV_3,156602.0
126,6 AV_FLM123,156419.0
421,ROCKAWAY AV_3,156236.0
79,25 AV_D,155617.0
416,RALPH AV_C,155596.0
147,79 ST_D,154687.0
181,AVENUE J_BQ,154325.0
426,SARATOGA AV_3,152481.0
400,PARKSIDE AV_BQ,151490.0
300,FT HAMILTON PKY_FG,150978.0
450,UNION ST_R,150393.0
311,GRANT AV_A,148873.0
331,JACKSON AV_25,148842.0
182,AVENUE M_BQ,148051.0
374,MYRTLE-WILLOUGH_G,147558.0
422,ROCKAWAY AV_C,146894.0
52,18 AV_D,146858.0
206,BEDFORD PK BLVD_4,146780.0
21,135 ST_BC,146648.0
361,MARBLE HILL-225_1,145548.0
438,STERLING ST_25,144325.0
137,71 ST_D,144140.0
304,FULTON ST_G,142457.0
49,174-175 STS_BD,142075.0
195,BAY RIDGE-95 ST_R,141778.0
170,ALLERTON AV_25,140842.0
233,CANAL ST_1,140162.0
372,MT EDEN AV_4,139991.0
296,FRANKLIN ST_1,139108.0
351,KOSCIUSZKO ST_J,138476.0
58,182-183 STS_BD,137682.0
459,WAKEFIELD/241_2,137542.0
257,CLINTON-WASH AV_G,137248.0
383,NEW UTRECHT AV_ND,137205.0
298,FRESH POND RD_M,135962.0
387,NEWARK HW BMEBE_1,135169.0
385,NEWARK C_1,133205.0
382,NEW LOTS_L,132836.0
359,LORIMER ST_JM,132430.0
254,CLASSON AV_G,131450.0
412,PROSPECT AV_R,130740.0
77,233 ST_25,129908.0
168,9TH STREET_1,129620.0
133,69 ST_7,128594.0
264,CRESCENT ST_JZ,128330.0
334,JAMAICA VAN WK_E,127936.0
353,LAFAYETTE AV_C,127305.0
297,FREEMAN ST_25,127192.0
468,WOODHAVEN BLVD_JZ,127049.0
275,E 149 ST_6,126533.0
262,COURT SQ_7,125420.0
219,BRIARWOOD_EF,124994.0
431,SMITH-9 ST_FG,123211.0
60,190 ST_A,122469.0
162,9 AV_D,121647.0
63,20 AV_D,121562.0
285,FAR ROCKAWAY_A,121077.0
224,BROADWAY_G,118442.0
316,GUN HILL RD_5,118047.0
4,103 ST_BC,117917.0
40,163 ST-AMSTERDM_C,117449.0
439,SUTPHIN BLVD_F,116522.0
441,SUTTER AV_L,115051.0
78,238 ST_1,114293.0
348,KINGSTON AV_3,114172.0
377,NECK RD_BQ,112897.0
344,KINGS HWY_F,112689.0
70,225 ST_25,111705.0
419,RIT-MANHATTAN_R,110826.0
212,BEVERLY RD_25,109747.0
420,RIT-ROOSEVELT_R,109310.0
97,36 ST_MR,109290.0
435,ST LAWRENCE AV_6,108644.0
393,NOSTRAND AV_3,105814.0
209,BERGEN ST_23,103124.0
217,BOWERY_JZ,102016.0
408,PENNSYLVANIA AV_3,101947.0
151,80 ST_A,101826.0
266,CYPRESS AV_6,101312.0
409,PRESIDENT ST_25,101173.0
319,HARLEM 148 ST_3,101064.0
324,HOWARD BCH JFK_A,100223.0
